"track_key","TrackId","TrackName","Composer","Milliseconds","UnitPrice","AlbumId","AlbumTitle","GenreId","GenreName"
1,1,"For Those About To Rock (We Salute You)","Angus Young, Malcolm Young, Brian Johnson",343719,0.99,1,"For Those About To Rock We Salute You",1,"Rock"
2,6,"Put The Finger On You","Angus Young, Malcolm Young, Brian Johnson",205662,0.99,1,"For Those About To Rock We Salute You",1,"Rock"
3,7,"Let's Get It Up","Angus Young, Malcolm Young, Brian Johnson",233926,0.99,1,"For Those About To Rock We Salute You",1,"Rock"
4,8,"Inject The Venom","Angus Young, Malcolm Young, Brian Johnson",210834,0.99,1,"For Those About To Rock We Salute You",1,"Rock"
5,9,"Snowballed","Angus Young, Malcolm Young, Brian Johnson",203102,0.99,1,"For Those About To Rock We Salute You",1,"Rock"
6,10,"Evil Walks","Angus Young, Malcolm Young, Brian Johnson",263497,0.99,1,"For Those About To Rock We Salute You",1,"Rock"
7,11,"C.O.D.","Angus Young, Malcolm Young, Brian Johnson",199836,0.99,1,"For Those About To Rock We Salute You",1,"Rock"
8,12,"Breaking The Rules","Angus Young, Malcolm Young, Brian Johnson",263288,0.99,1,"For Those About To Rock We Salute You",1,"Rock"
9,13,"Night Of The Long Knives","Angus Young, Malcolm Young, Brian Johnson",205688,0.99,1,"For Those About To Rock We Salute You",1,"Rock"
10,14,"Spellbound","Angus Young, Malcolm Young, Brian Johnson",270863,0.99,1,"For Those About To Rock We Salute You",1,"Rock"
11,15,"Go Down","AC/DC",331180,0.99,4,"Let There Be Rock",1,"Rock"
12,16,"Dog Eat Dog","AC/DC",215196,0.99,4,"Let There Be Rock",1,"Rock"
13,17,"Let There Be Rock","AC/DC",366654,0.99,4,"Let There Be Rock",1,"Rock"
14,18,"Bad Boy Boogie","AC/DC",267728,0.99,4,"Let There Be Rock",1,"Rock"
15,19,"Problem Child","AC/DC",325041,0.99,4,"Let There Be Rock",1,"Rock"
16,20,"Overdose","AC/DC",369319,0.99,4,"Let There Be Rock",1,"Rock"
17,21,"Hell Ain't A Bad Place To Be","AC/DC",254380,0.99,4,"Let There Be Rock",1,"Rock"
18,22,"Whole Lotta Rosie","AC/DC",323761,0.99,4,"Let There Be Rock",1,"Rock"
19,23,"Walk On Water","Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",295680,0.99,5,"Big Ones",1,"Rock"
20,24,"Love In An Elevator","Steven Tyler, Joe Perry",321828,0.99,5,"Big Ones",1,"Rock"
21,25,"Rag Doll","Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",264698,0.99,5,"Big Ones",1,"Rock"
